[MM] === BTC 15-min Market Maker ===
[MM] UTC: 2026-03-30 07:53:14.398396+00:00
[MM] size=5.0  cancel=5s  poll=1.0s
[MM] Balance: $0.96
[MM] Balance $0.96 < $5.50, waiting for settlements...
[MM] discovery btc-updown-15m-1774857600: HTTPSConnectionPool(host='gamma-api.polymarket.com', port=443): Read timed out.
[MM] next: Bitcoin Up or Down - March 30, 4:15AM-4:30AM ET in 1263s, sleeping 363s

[MM] ==================================================
[MM] Bitcoin Up or Down - March 30, 4:15AM-4:30AM ET
[MM] start=2026-03-30T08:15:00+00:00  deadline=2026-03-30T08:14:55+00:00
[MM] up=4352110618492235...  dn=3182013476469627...
[MM] Available balance: $15.96
[UP] BUY 5sh @ 0.49  oid=0xbe2d71a18447990262e1db5eafbfe739b07ba32df4dccf65e35b04f710d9e96e
[DN] BUY 5sh @ 0.50  oid=0x53e37d7afb3202e0e3d4617311d6a1d41d83d966126b31685bb1c69b1baf84fb
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 590s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 581s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 571s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 570s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 561s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 552s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 551s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 541s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 540s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 531s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 521s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 502s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 501s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 492s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 490s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 482s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 480s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 472s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 470s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 461s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 460s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 451s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 441s
[MM] book error: PolyApiException[status_code=None, error_message=Request exception!]
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 422s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 421s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 412s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 411s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 402s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 400s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 392s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 390s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 382s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 381s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 372s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 370s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 362s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 360s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 351s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 350s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 341s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 340s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 331s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 321s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 311s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 302s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 301s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 292s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 291s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 281s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 272s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 271s
